N,T,batch,order_position,repetition,elapsed_ns,seed,checksum,time_s,vectors_per_s,elements_per_s,ns_per_element,gflop_per_s_3flop_convention,x_payload_gb_per_s
16384,32,1,8,1,474181,42,352736.719945,0.000474181,34552206.8577,1105670619.45,0.904428482056,3.31701185834,8.84536495558
16384,32,1,8,2,469420,42,352736.719945,0.00046942,34902645.8182,1116884666.18,0.895347595215,3.35065399855,8.93507732947
16384,32,1,8,3,436205,42,352736.719945,0.000436205,37560321.4085,1201930285.07,0.831995010376,3.60579085522,9.61544228058
16384,32,1,8,4,538669,42,352736.719945,0.000538669,30415709.8329,973302714.654,1.02742958069,2.91990814396,7.78642171723
16384,32,1,8,5,439234,42,352736.719945,0.000439234,37301301.8118,1193641657.98,0.837772369385,3.58092497393,9.54913326382
16384,32,1,8,6,436530,42,352736.719945,0.00043653,37532357.4554,1201035438.57,0.832614898682,3.60310631572,9.60828350858
16384,128,2,1,7,2331780,42,1284671.27128,0.00233178,7026391.85515,899378157.459,1.11187934875,2.69813447238,7.19502525967
16384,128,2,1,8,2354694,42,1284671.27128,0.002354694,6958016.62551,890626128.066,1.1228055954,2.6718783842,7.12500902453
16384,128,2,1,9,2329809,42,1284671.27128,0.002329809,7032336.12712,900139024.272,1.11093950272,2.70041707282,7.20111219418
16384,128,2,1,10,2040790,42,1284671.27128,0.00204079,8028263.5646,1027617736.27,0.973124504089,3.08285320881,8.22094189015
16384,128,2,1,11,1930325,42,1284671.27128,0.001930325,8487689.89678,1086424306.79,0.920450687408,3.25927292036,8.6913944543
16384,128,2,1,12,2059354,42,1284671.27128,0.002059354,7955892.96449,1018354299.46,0.981976509094,3.05506289837,8.14683439564
16384,1024,2,2,7,17210300,42,10771937.6728,0.0172103,951988.053666,974835766.954,1.02581381798,2.92450730086,7.79868613563
16384,1024,2,2,8,17039194,42,10771937.6728,0.017039194,961547.829082,984624976.98,1.01561510563,2.95387493094,7.87699981584
16384,1024,2,2,9,17703260,42,10771937.6728,0.01770326,925479.262012,947690764.3,1.05519652367,2.8430722929,7.5815261144
16384,1024,2,2,10,17331902,42,10771937.6728,0.017331902,945308.829925,967996241.844,1.03306186199,2.90398872553,7.74396993475
16384,1024,2,2,11,17218606,42,10771937.6728,0.017218606,951528.828757,974365520.647,1.02630889416,2.92309656194,7.79492416517
16384,1024,2,2,12,17257161,42,10771937.6728,0.017257161,949402.975379,972188646.788,1.02860695124,2.91656594037,7.77750917431
16384,256,2,3,7,4417642,42,2602783.10434,0.004417642,3708765.89819,949444069.936,1.05324792862,2.84833220981,7.59555255949
16384,256,2,3,8,4326825,42,2602783.10434,0.004326825,3786610.27428,969372230.215,1.03159546852,2.90811669064,7.75497784172
16384,256,2,3,9,4265033,42,2602783.10434,0.004265033,3841470.86318,983416540.974,1.01686310768,2.95024962292,7.86733232779
16384,256,2,3,10,4193242,42,2602783.10434,0.004193242,3907239.31507,1000253264.66,0.999746799469,3.00075979397,8.00202611726
16384,256,2,3,11,4339969,42,2602783.10434,0.004339969,3775142.17267,966436396.205,1.03472924232,2.89930918861,7.73149116964
16384,256,2,3,12,4383012,42,2602783.10434,0.004383012,3738068.70709,956945589.015,1.04499149323,2.87083676705,7.65556471212
16384,64,2,4,7,932897,42,660083.659795,0.000932897,17562496.1813,1123999755.6,0.889679908752,3.3719992668,8.9919980448
16384,64,2,4,8,1103131,42,660083.659795,0.001103131,14852270.4919,950545311.482,1.05202770233,2.85163593444,7.60436249185
16384,64,2,4,9,898668,42,660083.659795,0.000898668,18231426.9563,1166811325.21,0.857036590576,3.50043397562,9.33449060165
16384,64,2,4,10,890742,42,660083.659795,0.000890742,18393653.8302,1177193845.13,0.849477767944,3.53158153539,9.41755076105
16384,64,2,4,11,885685,42,660083.659795,0.000885685,18498676.1659,1183915274.62,0.844655036926,3.55174582385,9.47132219694
16384,64,2,4,12,890488,42,660083.659795,0.000890488,18398900.3782,1177529624.21,0.849235534668,3.53258887262,9.42023699365
16384,32,2,5,7,449502,42,352736.719945,0.000449502,36449226.0324,1166375233.04,0.857357025146,3.49912569911,9.33100186429
16384,32,2,5,8,411260,42,352736.719945,0.00041126,39838544.9594,1274833438.7,0.78441619873,3.8245003161,10.1986675096
16384,32,2,5,9,446594,42,352736.719945,0.000446594,36686565.4263,1173970093.64,0.851810455322,3.52191028093,9.39176074914
16384,32,2,5,10,415030,42,352736.719945,0.00041503,39476664.3375,1263253258.8,0.791606903076,3.7897597764,10.1060260704
16384,32,2,5,11,446597,42,352736.719945,0.000446597,36686318.9856,1173962207.54,0.851816177368,3.52188662262,9.39169766031
16384,32,2,5,12,437846,42,352736.719945,0.000437846,37419549.3393,1197425578.86,0.835124969482,3.59227673657,9.57940463085
16384,4096,2,6,7,68971481,42,44120056.6544,0.068971481,237547.458202,972994388.797,1.02775515616,2.91898316639,7.78395511037
16384,4096,2,6,8,69338585,42,44120056.6544,0.069338585,236289.794492,967842998.238,1.03322543204,2.90352899471,7.74274398591
16384,4096,2,6,9,69566466,42,44120056.6544,0.069566466,235515.772786,964672605.333,1.03662112355,2.894017816,7.71738084266
16384,4096,2,6,10,70019265,42,44120056.6544,0.070019265,233992.744711,958434282.336,1.04336835444,2.87530284701,7.66747425869
16384,4096,2,6,11,71207833,42,44120056.6544,0.071207833,230087.046744,942436543.463,1.0610793978,2.82730963039,7.5394923477
16384,4096,2,6,12,71197217,42,44120056.6544,0.071197217,230121.354322,942577067.303,1.06092120707,2.82773120191,7.54061653842
16384,512,2,7,7,8663372,42,5365761.84264,0.008663372,1891180.47799,968284404.733,1.03275442123,2.9048532142,7.74627523786
16384,512,2,7,8,8630038,42,5365761.84264,0.008630038,1898485.26739,972024456.903,1.02878069878,2.91607337071,7.77619565522
16384,512,2,7,9,8606045,42,5365761.84264,0.008606045,1903778.10016,974734387.282,1.02592051029,2.92420316185,7.79787509826
16384,512,2,7,10,8383003,42,5365761.84264,0.008383003,1954430.88831,1000668614.82,0.999331831932,3.00200584445,8.00534891852
