N,T,measurements,mean_time_s,median_time_s,std_time_s,cv_time_pct,min_time_s,q1_time_s,q3_time_s,max_time_s,median_vectors_per_s,median_elements_per_s,median_ns_per_element,median_gflop_per_s_3flop_convention,median_x_payload_gb_per_s,normalized_median_time,work_ratio_vs_min_T,time_to_work_ratio
16384,32,30,0.000470440133333,0.0004459095,6.70925717209e-05,14.2616598727,0.000408308,0.00041701125,0.0005207035,0.000629866,36742968.2654,1175774984.49,0.850504875183,3.52732495348,9.40619987594,1,1,1
16384,64,30,0.0009310721,0.0008996715,6.61376429037e-05,7.10338575323,0.000867433,0.0008898115,0.0009572465,0.001103131,18211093.0908,1165509957.81,0.857993602753,3.49652987343,9.32407966248,2.01761007559,2,1.00880503779
16384,128,30,0.00205540676667,0.0019994785,0.000154202833071,7.50230249174,0.001930325,0.0019606895,0.002074075,0.00258242,8194148.01244,1048850945.59,0.953425645828,3.14655283678,8.39080756473,4.48404552942,4,1.12101138235
16384,256,30,0.00426728156667,0.0042537405,0.000158231573948,3.70801812526,0.004106847,0.00416215875,0.004291351,0.004935767,3851668.9442,986027249.714,1.01417076588,2.95808174914,7.88821799771,9.53947045309,8,1.19243380664
16384,512,30,0.0085913616,0.008583136,0.000121288564178,1.41175019543,0.008383003,0.0085398915,0.008628348,0.008953256,1908859.72601,977336179.718,1.02318954468,2.93200853915,7.81868943774,19.2486053784,16,1.20303783615
16384,1024,30,0.0172724060667,0.0172163505,0.000195425917965,1.13143424958,0.017014869,0.01716973325,0.0173240605,0.017804737,951653.504104,974493188.202,1.02617445588,2.92347956461,7.79594550562,38.6095171778,32,1.20654741181
16384,2048,30,0.0345345141333,0.0344380495,0.000446065394481,1.29165099228,0.034046293,0.03423878175,0.0347623405,0.035841832,475752.909292,974341958.229,1.0263338536,2.92302587469,7.79473566583,77.231028942,64,1.20673482722
16384,4096,30,0.0704884574667,0.0694481485,0.00290904145937,4.12697562681,0.068858373,0.069103991,0.070002039,0.082166663,235917.018353,966316107.173,1.03485805541,2.89894832152,7.73052885738,155.744940397,128,1.21675734685
