N,T,batch,order_position,repetition,elapsed_ns,seed,checksum
16384,64,3,3,13,976764,42,660083.65979530779
16384,64,3,3,14,950102,42,660083.65979530779
16384,64,3,3,15,917411,42,660083.65979530779
16384,64,3,3,16,889586,42,660083.65979530779
16384,64,3,3,17,883675,42,660083.65979530779
16384,64,3,3,18,917717,42,660083.65979530779
16384,32,3,4,13,592366,42,352736.71994500834
16384,32,3,4,14,544625,42,352736.71994500834
16384,32,3,4,15,597029,42,352736.71994500834
16384,32,3,4,16,565779,42,352736.71994500834
16384,32,3,4,17,629866,42,352736.71994500834
16384,32,3,4,18,578543,42,352736.71994500834
16384,128,3,5,13,2582420,42,1284671.2712755087
16384,128,3,5,14,2089306,42,1284671.2712755087
16384,128,3,5,15,1954258,42,1284671.2712755087
16384,128,3,5,16,1957269,42,1284671.2712755087
16384,128,3,5,17,1962936,42,1284671.2712755087
16384,128,3,5,18,1963354,42,1284671.2712755087
16384,2048,3,6,13,35306130,42,21978482.187348239
16384,2048,3,6,14,35841832,42,21978482.187348239
16384,2048,3,6,15,34450783,42,21978482.187348239
16384,2048,3,6,16,34245258,42,21978482.187348239
16384,2048,3,6,17,34598124,42,21978482.187348239
16384,2048,3,6,18,34425316,42,21978482.187348239
16384,256,3,7,13,4253294,42,2602783.1043406166
16384,256,3,7,14,4155308,42,2602783.1043406166
16384,256,3,7,15,4127070,42,2602783.1043406166
16384,256,3,7,16,4292452,42,2602783.1043406166
16384,256,3,7,17,4221370,42,2602783.1043406166
16384,256,3,7,18,4106847,42,2602783.1043406166
16384,512,3,8,13,8517158,42,5365761.8426366011
16384,512,3,8,14,8913912,42,5365761.8426366011
16384,512,3,8,15,8562819,42,5365761.8426366011
16384,512,3,8,16,8579695,42,5365761.8426366011
16384,512,3,8,17,8570060,42,5365761.8426366011
16384,512,3,8,18,8564197,42,5365761.8426366011
16384,2048,4,1,19,34357345,42,21978482.187348239
16384,2048,4,1,20,34832126,42,21978482.187348239
16384,2048,4,1,21,35062862,42,21978482.187348239
16384,2048,4,1,22,35439731,42,21978482.187348239
16384,2048,4,1,23,34982063,42,21978482.187348239
16384,2048,4,1,24,34853715,42,21978482.187348239
16384,1024,4,2,19,17175149,42,10771937.672788229
16384,1024,4,2,20,17076203,42,10771937.672788229
16384,1024,4,2,21,17192717,42,10771937.672788229
16384,1024,4,2,22,17190513,42,10771937.672788229
16384,1024,4,2,23,17278799,42,10771937.672788229
16384,1024,4,2,24,17167143,42,10771937.672788229
16384,128,4,3,19,1953433,42,1284671.2712755087
16384,128,4,3,20,2106989,42,1284671.2712755087
16384,128,4,3,21,1968287,42,1284671.2712755087
16384,128,4,3,22,1968715,42,1284671.2712755087
16384,128,4,3,23,2020317,42,1284671.2712755087
16384,128,4,3,24,1962338,42,1284671.2712755087
16384,4096,4,4,19,69454196,42,44120056.654433712
16384,4096,4,4,20,69028071,42,44120056.654433712
16384,4096,4,4,21,69040774,42,44120056.654433712
16384,4096,4,4,22,69419383,42,44120056.654433712
16384,4096,4,4,23,69139934,42,44120056.654433712
16384,4096,4,4,24,69245751,42,44120056.654433712
16384,512,4,5,19,8450778,42,5365761.8426366011
16384,512,4,5,20,8736716,42,5365761.8426366011
16384,512,4,5,21,8953256,42,5365761.8426366011
16384,512,4,5,22,8577544,42,5365761.8426366011
16384,512,4,5,23,8546046,42,5365761.8426366011
16384,512,4,5,24,8637784,42,5365761.8426366011
16384,32,4,6,19,409229,42,352736.71994500834
16384,32,4,6,20,536211,42,352736.71994500834
16384,32,4,6,21,422955,42,352736.71994500834
16384,32,4,6,22,412244,42,352736.71994500834
16384,32,4,6,23,448891,42,352736.71994500834
16384,32,4,6,24,413186,42,352736.71994500834
16384,256,4,7,19,4279857,42,2602783.1043406166
16384,256,4,7,20,4135326,42,2602783.1043406166
16384,256,4,7,21,4205118,42,2602783.1043406166
16384,256,4,7,22,4256226,42,2602783.1043406166
16384,256,4,7,23,4163703,42,2602783.1043406166
16384,256,4,7,24,4263563,42,2602783.1043406166
16384,64,4,8,19,892610,42,660083.65979530779
16384,64,4,8,20,891637,42,660083.65979530779
16384,64,4,8,21,871613,42,660083.65979530779
16384,64,4,8,22,867433,42,660083.65979530779
16384,64,4,8,23,874956,42,660083.65979530779
16384,64,4,8,24,869863,42,660083.65979530779
16384,2048,5,1,25,34299635,42,21978482.187348239
16384,2048,5,1,26,34318462,42,21978482.187348239
16384,2048,5,1,27,34147213,42,21978482.187348239
16384,2048,5,1,28,34554236,42,21978482.187348239
16384,2048,5,1,29,34482208,42,21978482.187348239
16384,2048,5,1,30,34166686,42,21978482.187348239
16384,64,5,2,25,972923,42,660083.65979530779
16384,64,5,2,26,1013908,42,660083.65979530779
16384,64,5,2,27,904891,42,660083.65979530779
16384,64,5,2,28,899405,42,660083.65979530779
16384,64,5,2,29,914260,42,660083.65979530779
16384,64,5,2,30,1041031,42,660083.65979530779
16384,128,5,3,25,1997121,42,1284671.2712755087
16384,128,5,3,26,2197603,42,1284671.2712755087
16384,128,5,3,27,2009491,42,1284671.2712755087
16384,128,5,3,28,2001836,42,1284671.2712755087
16384,128,5,3,29,1951958,42,1284671.2712755087
16384,128,5,3,30,1946133,42,1284671.2712755087
16384,4096,5,4,25,82166663,42,44120056.654433712
16384,4096,5,4,26,77653173,42,44120056.654433712
16384,4096,5,4,27,75356781,42,44120056.654433712
16384,4096,5,4,28,68858373,42,44120056.654433712
16384,4096,5,4,29,68891865,42,44120056.654433712
16384,4096,5,4,30,69935468,42,44120056.654433712
16384,512,5,5,25,8537840,42,5365761.8426366011
16384,512,5,5,26,8623069,42,5365761.8426366011
16384,512,5,5,27,8586577,42,5365761.8426366011
16384,512,5,5,28,8596489,42,5365761.8426366011
16384,512,5,5,29,8478355,42,5365761.8426366011
16384,512,5,5,30,8609545,42,5365761.8426366011
16384,256,5,6,25,4429049,42,2602783.1043406166
16384,256,5,6,26,4935767,42,2602783.1043406166
16384,256,5,6,27,4222828,42,2602783.1043406166
16384,256,5,6,28,4131914,42,2602783.1043406166
16384,256,5,6,29,4279680,42,2602783.1043406166
16384,256,5,6,30,4463606,42,2602783.1043406166
16384,32,5,7,25,409393,42,352736.71994500834
16384,32,5,7,26,449170,42,352736.71994500834
16384,32,5,7,27,409797,42,352736.71994500834
16384,32,5,7,28,445225,42,352736.71994500834
16384,32,5,7,29,408308,42,352736.71994500834
16384,32,5,7,30,439319,42,352736.71994500834
16384,1024,5,8,25,17214095,42,10771937.672788229
16384,1024,5,8,26,17347296,42,10771937.672788229
16384,1024,5,8,27,17291728,42,10771937.672788229
16384,1024,5,8,28,17118053,42,10771937.672788229
16384,1024,5,8,29,17325506,42,10771937.672788229
16384,1024,5,8,30,17202410,42,10771937.672788229
